Frame 1, 19536797 [715.927 432.937] [693.6 383.627] [760.68 322.839] [774.879 377.08]    
Frame 2, 19536797 [719.438 432.035] [697.557 382.386] [764.591 321.556] [778.291 376.102]   
Frame 3, 19536797 [719.424 432.003] [697.557 382.388] [764.556 321.556] [778.367 376.115]   
Frame 4, 19536797 [721.844 431.085] [700.096 381.304] [767.077 320.744] [780.542 375.526] 
Frame 5, 19536797 [724.152 430.222] [702.977 380.22] [769.923 319.73] [783.069 374.739]   
Frame 6, 19536797 [726.279 429.236] [705.745 378.876] [772.83 318.649] [785.381 373.957]    
Frame 7, 19536797 [729.333 427.26] [709.17 376.39] [776.487 316.097] [788.69 371.71]   
Frame 8, 19536797 [729.368 427.242] [709.155 376.465] [776.486 316.252] [788.631 371.772]   
Frame 9, 19536797 [730.619 426.14] [710.681 374.981] [778.101 314.908] [789.703 370.587]    
Frame 10, 19536797 [731.928 424.952] [712.353 373.642] [779.84 313.519] [791.143 369.549]    
Frame 11, 19536797 [733.18 423.766] [713.966 372.096] [781.616 312.007] [792.424 368.439]    
Frame 12, 19536797 [733.894 422.386] [714.978 370.497] [782.678 310.633] [793.353 367.123]   
Frame 13, 19536797 [734.367 420.957] [715.596 368.865] [783.278 308.804] [793.777 365.538]   
Frame 14, 19536797 [734.654 419.46] [715.956 367.001] [783.787 306.961] [794.025 363.936]    
Frame 15, 19536797 [734.924 417.824] [716.063 365.389] [784.055 305.059] [794.259 362.291]   
Frame 16, 19536797 [735.276 416.267] [716.204 363.869] [784.144 303.193] [794.643 360.597] 
Frame 17, 19536797 [735.635 414.937] [716.681 362.094] [784.485 301.41] [795.307 358.811]  
Frame 18, 19536797 [736.465 413.535] [717.22 360.606] [785.26 299.187] [795.889 356.927]   
Frame 19, 19536797 [737.11 411.809] [717.847 358.713] [786.126 297.186] [796.733 355.246]  
Frame 20, 19536797 [737.814 410.596] [718.346 357.167] [786.804 295.357] [797.443 353.295] 
Frame 21, 19536797 [738.283 409.368] [718.774 355.708] [787.347 293.376] [798.005 351.869] 
Frame 22, 19536797 [738.589 408.043] [719.021 354.55] [787.876 291.961] [798.499 350.721]  
Frame 23, 19536797 [739.033 407.54] [719.45 353.651] [788.112 290.817] [799.164 349.403]   
Frame 24, 19536797 [739.428 407.094] [719.812 352.882] [788.639 289.689] [799.486 348.641] 
Frame 25, 19536797 [739.605 406.675] [719.984 352.358] [788.923 289.084] [799.839 348.04]  
Frame 26, 19536797 [739.856 406.512] [719.974 352.297] [789.33 288.578] [799.904 347.928]  
Frame 27, 19536797 [740.089 406.685] [720.4 352.428] [789.602 288.467] [800.339 347.875]   
Frame 28, 19536797 [740.638 407.008] [721.222 352.57] [790.15 288.726] [801.126 348.167]   
Frame 29, 19536797 [741.62 407.319] [722.196 352.938] [791.381 289.018] [802.016 348.356]  
Frame 30, 19536797 [742.767 407.894] [723.417 353.269] [792.689 289.15] [803.239 348.847]  
Frame 31, 19536797 [743.719 408.072] [724.237 353.579] [793.842 289.236] [804.175 349.196] 
Frame 32, 19536797 [744.438 408.29] [725.087 353.84] [794.606 289.033] [804.906 349.195]   
Frame 33, 19536797 [745.232 408.494] [725.92 354.069] [795.681 288.713] [805.668 349.499]  
Frame 34, 19536797 [745.874 408.879] [726.742 354.057] [796.398 289.857] [806.677 349.514] 
Frame 35, 19536797 [746.27 409.383] [727.233 354.648] [797.159 289.715] [807.134 350.166]  
Frame 36, 19536797 [746.343 410.163] [727.213 355.069] [797.348 290.296] [807.293 350.276] 
Frame 37, 19536797 [746.236 410.405] [727.247 355.67] [797.321 290.793] [807.244 350.929]  
Frame 38, 19536797 [746.182 410.907] [727.358 355.977] [797.353 291.066] [807.223 351.109] 
Frame 39, 19536797 [746.286 411.247] [727.532 355.996] [797.618 291.054] [807.366 351.53]  
Frame 40, 19536797 [746.509 411.186] [727.641 356.009] [797.941 290.729] [807.558 351.604] 
Frame 41, 19536797 [746.442 411.066] [727.573 355.627] [797.923 290.592] [807.592 350.969] 
Frame 42, 19536797 [746.332 410.404] [727.246 355.157] [797.928 289.963] [807.601 350.574] 
Frame 43, 19536797 [746.254 410.023] [727.246 354.462] [797.919 288.846] [807.635 349.761] 
Frame 44, 19536797 [746.332 409.233] [727.129 353.578] [797.877 287.996] [807.78 348.609]  
Frame 45, 19536797 [746.262 408.371] [727.002 352.815] [797.911 286.674] [807.712 347.714] 
Frame 46, 19536797 [746.064 407.707] [726.583 351.869] [797.665 285.591] [807.507 346.723] 
Frame 47, 19536797 [745.81 407.017] [726.511 351.255] [797.578 284.909] [807.506 346.555]  
Frame 48, 19536797 [745.843 406.913] [726.497 351.001] [797.746 284.701] [807.625 346.358] 
