Frame 1, 9753364 [633.508 331.4] [697.457 277.507] [756.425 315.414] [688.198 376.55]   
Frame 2, 9753364 [636.851 330.265] [700.774 276.391] [760.189 314.328] [692.167 375.405]   
Frame 3, 9753364 [636.851 330.265] [700.774 276.391] [760.189 314.328] [692.167 375.405]   
Frame 4, 9753364 [639.22 329.154] [703.076 275.437] [762.659 313.386] [694.843 374.367]   
Frame 5, 9753364 [641.724 327.824] [705.737 274.338] [765.701 312.475] [697.574 373.108]   
Frame 6, 9753364 [644.268 326.453] [708.443 273.163] [768.377 311.278] [700.417 371.908]   
Frame 7, 9753364 [647.311 323.803] [711.885 270.748] [772.284 308.821] [704.025 369.241]   
Frame 8, 9753364 [647.314 323.801] [711.963 270.732] [772.279 308.816] [704.023 369.28]   
Frame 9, 9753364 [648.549 322.473] [713.152 269.411] [773.786 307.533] [705.526 367.731]   
Frame 10, 9753364 [650.054 320.945] [714.582 267.989] [775.524 306.173] [707.221 366.273]   
Frame 11, 9753364 [651.419 319.364] [716.225 266.627] [777.189 304.751] [708.862 364.759]   
Frame 12, 9753364 [652.173 317.634] [717.357 265.136] [778.452 303.285] [709.984 363.25]   
Frame 13, 9753364 [652.442 316.032] [717.535 263.377] [779.069 301.468] [710.441 361.495]   
Frame 14, 9753364 [652.507 314.435] [717.684 261.594] [779.439 299.579] [710.787 359.669]   
Frame 15, 9753364 [652.464 312.77] [717.716 259.694] [779.555 297.662] [711.055 358.095]   
Frame 16, 9753364 [652.211 311.19] [717.592 257.854] [779.706 295.724] [711.155 356.419]   
Frame 17, 9753364 [652.354 309.57] [717.599 255.95] [780.124 293.807] [711.487 354.895]   
Frame 18, 9753364 [652.561 307.879] [717.845 254.025] [780.811 291.825] [712.06 353.187]   
Frame 19, 9753364 [652.846 305.876] [718.343 251.865] [781.464 289.811] [712.617 351.405]  
Frame 20, 9753364 [653.038 304.192] [718.674 249.73] [782.282 287.81] [713.168 349.725]   
Frame 21, 9753364 [653.024 302.593] [718.952 247.945] [782.745 286.012] [713.467 348.325]  
Frame 22, 9753364 [652.924 301.448] [718.877 246.399] [783.303 284.355] [713.782 347.154]  
Frame 23, 9753364 [652.999 300.383] [719.048 245.016] [783.725 283.092] [714.239 346.236]  
Frame 24, 9753364 [652.933 299.528] [719.37 243.895] [784.215 282.133] [714.337 345.366]   
Frame 25, 9753364 [652.906 299.024] [719.159 243.124] [784.642 281.269] [714.594 344.84]   
Frame 26, 9753364 [652.746 298.617] [719.308 242.57] [784.726 280.899] [714.792 344.743]   
Frame 27, 9753364 [652.83 298.572] [719.397 242.492] [785.171 280.783] [715.081 344.775]   
Frame 28, 9753364 [653.278 298.739] [719.945 242.474] [785.69 280.889] [715.709 345.098]   
Frame 29, 9753364 [654.199 298.949] [720.882 242.617] [787.004 281.169] [716.704 345.359]  
Frame 30, 9753364 [655.175 299.172] [722.046 242.783] [788.219 281.407] [717.94 345.803]   
Frame 31, 9753364 [655.977 299.271] [722.927 242.837] [789.261 281.493] [718.814 346.014]  
